#This document should be used as the master list, it reflects the most up to date information.
#In this document, obsids are unique and correspond to a unique directory containing data products in /x-ray
#delimiter = "  "
# CXOname, 	      OBSID,      specObjID, 	    RA, 	DEC, 	Z, 		nH,      Counts
2CXO J122442.1+125112  401  1818422960667518976  186.17577  12.85313  0.31830230  0.03050000  NO MATCH
2CXO J134736.4+173404  10561  3087339111615326208  206.90169  17.567961  0.04486962  0.01620000  97
2CXO J131651.2+055647  11469  958241191021799424  199.21374  5.9463858  0.05546544  0.02260000  35
2CXO J082443.3+295923  11446  1359098671341266944  126.18036  29.989878  0.02571454  0.03490000  66
2CXO J123614.3+255022  404  2993927356944508928  189.05943  25.8401  0.17651130  0.01130000  15
2CXO J151215.7+020317  5671  608136891153278976  228.0656  2.054718  0.22018880  0.03750000  739
2CXO J142044.9+533913  6127  1491828143143544832  215.1871  53.653867  0.11780690  0.00840000  NO MATCH
2CXO J125242.7+263753  12709  2522082650798188544  193.17808  26.631421  0.04564509  0.00781000  35
2CXO J134443.7+550300  4125  1488479580967692288  206.18228  55.05016  0.15359810  0.00822000  132
2CXO J141604.8+131257  22915  1920828729530017792  214.02027  13.21561  0.07460856  0.01600000  NO MATCH
2CXO J141604.8+131257  22914  1920828729530017792  214.02027  13.21561  0.07460856  0.01600000  NO MATCH
2CXO J141604.8+131257  22916  1920828729530017792  214.02027  13.21561  0.07460856  0.01600000  NO MATCH
2CXO J141604.8+131257  22917  1920828729530017792  214.02027  13.21561  0.07460856  0.01600000  NO MATCH
2CXO J141604.8+131257  22918  1920828729530017792  214.02027  13.21561  0.07460856  0.01600000  NO MATCH
2CXO J145210.5+292409  4788  2416272255639119872  223.04388  29.402501  0.05957957  0.01720000  61
2CXO J125558.7+291459  4774  2264251841573316608  193.9948  29.249855  0.06842237  0.01050000  18
2CXO J140345.0+292143  4782  2389198979955976192  210.93759  29.362217  0.06399679  0.01140000  42
2CXO J142551.3+353404  7002  1851122161230571520  216.46411  35.567819  0.18693180  0.01340000  NO MATCH
2CXO J143217.7+343748  7005  1852157351897884672  218.07384  34.629969  0.37402710  0.01090000  NO MATCH
2CXO J143300.5+343649  7005b  1852149655316490240  218.25225  34.613526  0.15136700  0.01070000  NO MATCH
2CXO J143544.1+350433  7375  1852241464537409536  218.93398  35.076151  0.02903509  0.00934000  32
2CXO J142859.9+330318  4259  2072898060421195776  217.24994  33.055082  0.12909170  0.00912000  29
2CXO J142916.8+335641  4228  2072870022874687488  217.31999  33.944822  0.13050250  0.01080000  NO MATCH
2CXO J152157.4+285918  4791  2078557533089327104  230.48925  28.988384  0.07309281  0.02080000  25
2CXO J153059.2+285932  4796  1860035084258666496  232.74684  28.992397  0.08388785  0.02100000  NO MATCH
2CXO J143217.7+343748  3648  1852157351897884672  218.07384  34.629969  0.37402710  0.01090000  NO MATCH
2CXO J143232.4+340624  4221  1852174394328115200  218.13542  34.10705  0.04264033  0.01080000  NO MATCH
2CXO J143003.1+340650  4222  1852183740176951296  217.51301  34.114207  0.12637900  0.01110000  11
2CXO J142829.8+332953  4243  2071664957811877888  217.12312  33.498258  0.12888030  0.01010000  NO MATCH
2CXO J143525.3+330520  4262  2072932145281656832  218.85526  33.089242  0.19954750  0.00885000  28
2CXO J101901.0+211654  11378  2663960331335788544  154.75389  21.282295  0.00366555  0.01710000  NO MATCH
2CXO J230920.2+004523  12998  429092964338264064  347.33443  0.75651455  0.03264760  0.03800000  227
2CXO J123934.2+473214  3073  1635942511987943424  189.89271  47.537501  0.13153180  0.01390000  91
